"Crawled Time","ASIN","Author","NumberOfPages","Publisher","FormattedPrice","Title","PublicationDate","SalesRank","DetailPageURL"
"06/27/2015 - 21:17:22","1455585033","James Patterson: David Ellis","432","Grand Central Publishing","$16.00","Invisible","2015-02-24","3664","http://www.amazon.com/Invisible-James-Patterson/dp/1455585033%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D1455585033"
"06/27/2015 - 21:17:22","0316250910","James Patterson: Chris Tebbetts: Lisa Papademetriou","1184","Little, Brown and Company","$60.00: $16.12","Middle School Boxed Set","2013-10-15","5753","http://www.amazon.com/Middle-School-Boxed-James-Patterson/dp/0316250910%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D0316250910"
"06/27/2015 - 21:17:22","0316322148","James Patterson: Chris Tebbetts","304","Little, Brown and Company","$13.99","Public School Superhero","2015-03-16","5669","http://www.amazon.com/Public-School-Superhero-James-Patterson/dp/0316322148%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D0316322148"
"06/27/2015 - 21:17:22","1455521531","James Patterson: Marshall Karp","400","Vision","$10.00","NYPD Red","2014-01-14","3478","http://www.amazon.com/NYPD-Red-James-Patterson/dp/1455521531%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D1455521531"
"06/27/2015 - 21:17:22","1455515981","James Patterson: Marshall Karp","416","Grand Central Publishing","$16.00","NYPD Red 2","2014-12-23","12771","http://www.amazon.com/NYPD-Red-2-James-Patterson/dp/1455515981%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D1455515981"
"06/27/2015 - 21:17:22","1455515876","James Patterson: Michael Ledwidge","448","Grand Central Publishing","$16.00","Burn (Michael Bennett)","2015-04-07","4098","http://www.amazon.com/Burn-Michael-Bennett-James-Patterson/dp/1455515876%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D1455515876"
"06/27/2015 - 21:17:22","0316067954","James Patterson","464","Little, Brown and Company","$10.00","The Angel Experiment: A Maximum Ride Novel (Book 1)","2007-04-01","3365","http://www.amazon.com/The-Angel-Experiment-Maximum-Novel/dp/0316067954%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D0316067954"
"06/27/2015 - 21:17:22","0316206970","James Patterson: Chris Grabenstein","368","Little, Brown and Company","$13.99","I Even Funnier: A Middle School Story (I Funny)","2013-12-09","7227","http://www.amazon.com/Even-Funnier-Middle-School-Story/dp/0316206970%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D0316206970"
"06/27/2015 - 21:17:22","031621115X","James Patterson: Maxine Paetro","384","Little, Brown and Company","$28.00","Private Vegas","2015-01-26","4903","http://www.amazon.com/Private-Vegas-James-Patterson/dp/031621115X%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D031621115X"
"06/27/2015 - 21:17:22","0316322008","James Patterson: Chris Grabenstein","320","Little, Brown and Company","$13.99","I Funny: A Middle School Story","2013-12-09","4457","http://www.amazon.com/Funny-Middle-School-Story/dp/0316322008%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D0316322008"
"06/27/2015 - 21:17:22","1455515817","James Patterson","448","Grand Central Publishing","$16.00","Cross My Heart (Alex Cross)","2014-09-30","6758","http://www.amazon.com/Cross-My-Heart-Alex/dp/1455515817%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D1455515817"
"06/27/2015 - 21:17:22","031620756X","James Patterson: Chris Grabenstein: Mark Shulman","480","Little, Brown and Company","$14.99","Treasure Hunters","2013-09-16","5873","http://www.amazon.com/Treasure-Hunters-James-Patterson/dp/031620756X%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D031620756X"
"06/27/2015 - 21:17:22","0316284807","James Patterson: Chris Grabenstein","448","Little, Brown and Company","$14.99","Treasure Hunters: Secret of the Forbidden City","2015-09-14","7446","http://www.amazon.com/Treasure-Hunters-Secret-Forbidden-City/dp/0316284807%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D0316284807"
"06/27/2015 - 21:17:22","1455515795","James Patterson: Maxine Paetro","432","Grand Central Publishing","$15.00","12th of Never (Women's Murder Club)","2013-12-24","5825","http://www.amazon.com/12th-Never-Womens-Murder-Club/dp/1455515795%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D1455515795"
"06/27/2015 - 21:17:22","0446696617","James Patterson","432","Grand Central Publishing","$16.00","1st to Die (Women's Murder Club)","2005-05-20","9155","http://www.amazon.com/1st-Die-Womens-Murder-Club/dp/0446696617%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D0446696617"
"06/27/2015 - 21:17:22","0316322016","James Patterson: Chris Tebbetts","288","Little, Brown and Company","$13.99","Middle School: Get Me out of Here!","2014-03-31","10576","http://www.amazon.com/Middle-School-Get-out-Here/dp/0316322016%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D0316322016"
"06/27/2015 - 21:17:22","0316067962","James Patterson","448","Little, Brown and Company","$10.00","School's Out - Forever (Maximum Ride, Book 2)","2007-04-01","7666","http://www.amazon.com/Schools-Out-Forever-Maximum-Ride/dp/0316067962%3FSubscriptionId%3DAKIAIRPO7XSMIHVQQ3BQ%26tag%3Damericakartco-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3D0316067962"
